路段,时间(小时)
165→141,0.010996333083588798
141→164,0.037938041836836876
164→2,0.07547487036059355
2→142,0.02092816177511559
142→157,0.05264235034454083
157→4,0.030216479451130634
4→67,0.0793685146634808
67→166,0.021525050911102513
166→179,0.060589112331232334
179→69,0.03402919307800785
69→73,0.043272672705350915
73→133,0.052988528721428764
133→92,0.030879754121494192
92→80,0.038760487965983074
80→174,0.03183443086865158
174→57,0.08907289891386924
57→1,0.03228373507665392
1→110,0.04860749251181546
110→78,0.03594560706751345
78→218,0.04477199275733514
218→11,0.02682059191715556
11→19,0.05775267944844924
19→204,0.08246612197092687
204→203,0.01300109267427157
203→20,0.02799363938278157
20→201,0.03884506216835347
201→101,0.02613152183400958
101→43,0.06017883196276906
43→199,0.044290964016594034
199→82,0.05082487007032101
82→63,0.034530829774109366
63→54,0.06300537492879435
54→8,0.012133213963736652
8→129,0.0867172055766546
129→158,0.03822671312697121
158→15,0.07548077638390395
15→200,0.07809460929728554
200→202,0.01920428319410494
202→217,0.0768468163543878
217→46,0.09483882904567938
46→60,0.031049913357083764
60→44,0.0742321543851729
44→61,0.02249439374412188
61→83,0.0794072192250069
83→147,0.06574278427351729
147→100,0.01227871995710799
100→31,0.04195172788436577
31→115,0.016073110459739158
115→140,0.04519489963580052
140→26,0.01510418607091337
26→169,0.08054914446471102
169→49,0.01359576693037278
49→156,0.0410290430779396
156→155,0.05431326781020116
155→70,0.06562496603464589
70→53,0.0595399191325597
53→205,0.028462949768781127
205→206,0.03482740022401036
206→150,0.07667356014053359
150→71,0.04180554732047926
71→149,0.03240545528101554
149→10,0.030787624908285786
10→5,0.022159816319776968
5→123,0.029904997075894807
123→56,0.05167121475877704
56→52,0.03354592859129002
52→159,0.046143578819523086
159→96,0.06874582859095735
96→112,0.024460947374336357
112→84,0.09315484128965613
84→90,0.045631877580959844
90→86,0.029770254837775408
86→94,0.018706464156815577
94→196,0.01791128774828084
196→136,0.028235077767412055
136→88,0.03551831848364242
88→209,0.05435584346631421
209→210,0.029544762323492253
210→118,0.04964858552540353
118→91,0.053961806334038645
91→76,0.1038674457435748
76→137,0.07825185100050826
137→68,0.02553996694027862
68→6,0.10439148613096871
6→170,0.052386031352269866
170→127,0.03739502358723634
127→163,0.08218122559208127
163→173,0.015047442041834147
173→55,0.010576456633718787
55→154,0.024180302903695147
154→130,0.07653365662876534
130→207,0.06500543186065065
207→22,0.028617621775797485
22→9,0.045237969653970325
9→107,0.06741866697624296
107→32,0.03176156723211494
32→34,0.07656970944816616
34→208,0.025052309013346437
208→178,0.08212470701389893
178→219,0.07590082379266708
219→95,0.052027318971478706
95→66,0.048822619415910075
66→220,0.0328195471219771
220→114,0.030768019701382515
114→180,0.10106477782693717
180→7,0.1411541181316141
7→28,0.10260349890396925
28→171,0.05152381022844654
171→62,0.019119121687792683
62→42,0.09190769049313954
42→23,0.06535706227653154
23→50,0.051895772022532795
50→172,0.026601405324258094

